event_id,customer_id,product_id,event_type,event_timestamp,device_type,session_duration
255296,6200,229,add_to_cart,2026-03-12 19:15:12,mobile,40
255297,8341,460,product_view,2026-03-12 19:59:18,desktop,597
255298,7060,12,add_to_cart,2026-03-12 08:30:35,tablet,542
255299,3022,424,checkout,2026-03-12 15:36:33,tablet,79
255300,10164,229,checkout,2026-03-12 06:34:21,mobile,104
255301,2305,420,page_view,2026-03-12 20:04:07,mobile,214
255302,10128,347,product_view,2026-03-12 23:03:06,mobile,121
255303,3482,60,page_view,2026-03-12 08:34:44,desktop,350
255304,842,400,checkout,2026-03-12 04:06:13,desktop,332
255305,7199,467,checkout,2026-03-12 05:54:47,desktop,413
255306,3350,149,add_to_cart,2026-03-12 23:51:57,mobile,250
255307,9402,172,add_to_cart,2026-03-12 09:01:15,tablet,349
255308,7470,443,page_view,2026-03-12 04:02:47,desktop,223
255309,2953,418,add_to_cart,2026-03-12 22:32:46,tablet,202
255310,6851,488,checkout,2026-03-12 21:47:33,desktop,202
255311,5951,72,product_view,2026-03-12 08:04:53,mobile,137
255312,9436,325,checkout,2026-03-12 20:25:09,desktop,466
255313,2051,315,product_view,2026-03-12 20:29:14,desktop,361
255314,7875,231,product_view,2026-03-12 15:24:53,mobile,534
255315,7515,75,page_view,2026-03-12 17:00:30,desktop,42
255316,2438,462,checkout,2026-03-12 16:49:32,tablet,279
255317,5804,439,page_view,2026-03-12 18:14:30,mobile,46
255318,9160,359,add_to_cart,2026-03-12 10:24:32,desktop,367
255319,2266,263,product_view,2026-03-12 23:53:36,tablet,307
255320,5165,109,page_view,2026-03-12 10:28:43,desktop,456
255321,3407,174,add_to_cart,2026-03-12 05:20:18,tablet,521
255322,7939,110,page_view,2026-03-12 11:06:40,tablet,549
255323,4213,202,checkout,2026-03-12 19:11:54,mobile,34
255324,3232,482,page_view,2026-03-12 08:33:25,mobile,149
255325,781,301,product_view,2026-03-12 01:03:44,desktop,281
255326,1856,487,add_to_cart,2026-03-12 07:59:14,desktop,223
255327,2663,101,checkout,2026-03-12 10:37:45,tablet,33
255328,7268,279,add_to_cart,2026-03-12 04:23:57,mobile,166
255329,9342,223,checkout,2026-03-12 22:19:12,desktop,353
255330,2,446,page_view,2026-03-12 10:36:29,tablet,560
255331,7134,361,page_view,2026-03-12 18:29:25,desktop,203
255332,66,36,add_to_cart,2026-03-12 07:30:30,mobile,523
255333,2829,475,checkout,2026-03-12 19:37:07,tablet,568
255334,8883,288,add_to_cart,2026-03-12 22:32:12,desktop,491
255335,5003,406,product_view,2026-03-12 17:18:50,mobile,583
255336,195,55,checkout,2026-03-12 02:56:56,desktop,272
255337,3915,180,checkout,2026-03-12 19:31:49,mobile,50
255338,4012,458,page_view,2026-03-12 22:47:37,tablet,280
255339,7166,52,product_view,2026-03-12 20:53:26,tablet,497
255340,737,207,product_view,2026-03-12 15:33:32,tablet,432
255341,874,286,checkout,2026-03-12 11:05:40,tablet,131
255342,1805,165,checkout,2026-03-12 04:39:54,mobile,216
255343,2073,101,add_to_cart,2026-03-12 05:01:27,tablet,180
255344,9541,144,page_view,2026-03-12 16:46:50,tablet,179
255345,3075,393,page_view,2026-03-12 04:10:06,mobile,11
255346,2370,491,checkout,2026-03-12 09:05:10,desktop,38
255347,415,27,product_view,2026-03-12 10:21:52,desktop,210
255348,5441,278,checkout,2026-03-12 18:37:39,desktop,474
255349,2707,392,product_view,2026-03-12 23:44:15,mobile,136
255350,4742,334,product_view,2026-03-12 01:26:22,desktop,561
255351,8365,102,product_view,2026-03-12 13:29:48,desktop,375
255352,2092,389,page_view,2026-03-12 06:36:05,desktop,267
255353,6433,401,checkout,2026-03-12 11:38:49,tablet,444
255354,5188,148,page_view,2026-03-12 17:33:52,mobile,532
255355,2937,263,checkout,2026-03-12 16:28:47,desktop,428
255356,7483,361,product_view,2026-03-12 04:04:14,mobile,362
255357,5196,361,checkout,2026-03-12 06:36:53,mobile,591
255358,5873,227,checkout,2026-03-12 16:21:11,desktop,295
255359,10341,312,add_to_cart,2026-03-12 08:13:42,tablet,537
255360,8876,202,product_view,2026-03-12 13:48:35,tablet,63
255361,488,318,add_to_cart,2026-03-12 13:02:52,desktop,209
255362,112,496,add_to_cart,2026-03-12 07:52:18,tablet,270
255363,1369,107,add_to_cart,2026-03-12 04:47:51,mobile,328
255364,7835,131,add_to_cart,2026-03-12 21:09:21,desktop,56
255365,8135,401,product_view,2026-03-12 03:46:11,desktop,172
255366,6300,148,page_view,2026-03-12 07:28:50,mobile,400
255367,3039,358,page_view,2026-03-12 02:52:42,tablet,297
255368,5035,356,product_view,2026-03-12 02:34:42,mobile,460
255369,2203,139,checkout,2026-03-12 01:09:57,desktop,167
255370,6233,13,page_view,2026-03-12 19:10:38,tablet,534
255371,5064,498,checkout,2026-03-12 18:23:43,desktop,183
255372,7662,364,checkout,2026-03-12 03:23:10,mobile,91
255373,8389,259,product_view,2026-03-12 06:40:51,tablet,96
255374,1910,126,product_view,2026-03-12 10:34:17,mobile,194
255375,9700,296,product_view,2026-03-12 11:57:43,desktop,569
255376,5051,345,checkout,2026-03-12 12:00:20,tablet,21
255377,1686,488,product_view,2026-03-12 17:25:39,tablet,426
255378,4044,259,add_to_cart,2026-03-12 05:25:23,desktop,583
255379,6183,168,page_view,2026-03-12 15:17:02,tablet,357
255380,277,303,page_view,2026-03-12 12:57:49,tablet,158
255381,5257,220,add_to_cart,2026-03-12 00:23:13,desktop,400
255382,773,95,checkout,2026-03-12 18:12:10,tablet,15
255383,7832,67,product_view,2026-03-12 20:05:48,tablet,461
255384,7489,202,page_view,2026-03-12 17:12:43,desktop,213
255385,1844,116,page_view,2026-03-12 10:48:55,desktop,556
255386,8164,168,add_to_cart,2026-03-12 19:05:46,desktop,408
255387,1502,305,product_view,2026-03-12 08:51:07,mobile,458
255388,7907,309,add_to_cart,2026-03-12 11:47:02,desktop,273
255389,6582,160,product_view,2026-03-12 10:54:39,tablet,205
255390,5663,136,product_view,2026-03-12 01:35:44,desktop,237
255391,2037,450,add_to_cart,2026-03-12 00:11:20,mobile,518
255392,7780,344,product_view,2026-03-12 01:42:04,mobile,579
255393,8189,341,product_view,2026-03-12 16:46:43,tablet,525
255394,8370,309,checkout,2026-03-12 03:29:43,tablet,457
255395,783,479,checkout,2026-03-12 20:48:48,tablet,489
255396,969,280,product_view,2026-03-12 05:44:20,tablet,268
255397,3344,325,checkout,2026-03-12 22:15:27,desktop,532
255398,8864,414,checkout,2026-03-12 06:26:10,mobile,148
255399,8369,486,page_view,2026-03-12 03:00:57,tablet,429
255400,4711,429,page_view,2026-03-12 00:18:47,mobile,321
255401,1885,68,checkout,2026-03-12 10:25:38,mobile,366
255402,3243,73,page_view,2026-03-12 05:15:30,desktop,420
255403,7052,456,add_to_cart,2026-03-12 05:55:09,desktop,410
255404,10058,214,add_to_cart,2026-03-12 13:11:46,mobile,183
255405,6512,103,checkout,2026-03-12 17:29:23,desktop,377
255406,6818,427,add_to_cart,2026-03-12 16:09:50,desktop,413
255407,131,96,page_view,2026-03-12 00:39:59,desktop,572
255408,9,14,add_to_cart,2026-03-12 01:31:19,tablet,495
255409,7175,330,checkout,2026-03-12 12:18:43,tablet,516
255410,2841,210,add_to_cart,2026-03-12 18:16:49,tablet,140
