payment_id,order_id,payment_method,payment_amount,payment_status,payment_timestamp
111286,111286,Wallet,15705.24,success,2026-03-12 19:34:36
111287,111287,UPI,3083.44,failed_insufficient_funds,2026-03-12 00:05:37
111288,111288,Debit Card,5401.83,failed_network_error,2026-03-12 00:17:09
111289,111289,Credit Card,13074.96,failed_invalid_card,2026-03-12 22:37:58
111290,111290,Net Banking,3689.2200000000003,failed_network_error,2026-03-12 15:45:42
111291,111291,Wallet,475.6,failed_insufficient_funds,2026-03-12 01:45:09
111292,111292,Debit Card,5400.92,failed_insufficient_funds,2026-03-12 07:42:41
111293,111293,Wallet,17033.66,failed_invalid_card,2026-03-12 21:16:02
111294,111294,Net Banking,14025.1,success,2026-03-12 19:51:31
111295,111295,UPI,0.0,failed_invalid_card,2026-03-12 17:52:45
111296,111296,Net Banking,39448.0,success,2026-03-12 12:00:35
111297,111297,Net Banking,198.44,success,2026-03-12 04:55:11
111298,111298,Credit Card,0.0,failed_insufficient_funds,2026-03-12 03:39:29
111299,111299,Credit Card,35852.56,failed_network_error,2026-03-12 18:15:47
111300,111300,Wallet,26307.399999999998,failed_invalid_card,2026-03-12 13:09:23
111301,111301,Wallet,0.0,success,2026-03-12 18:24:22
111302,111302,Wallet,10648.53,success,2026-03-12 04:04:50
111303,111303,UPI,25780.86,success,2026-03-12 03:40:27
111304,111304,UPI,27641.52,failed_network_error,2026-03-12 22:06:25
111305,111305,Net Banking,0.0,failed_insufficient_funds,2026-03-12 06:12:52
111306,111306,Debit Card,0.0,failed_invalid_card,2026-03-12 09:27:09
111307,111307,Wallet,20736.309999999998,failed_insufficient_funds,2026-03-12 07:04:50
111308,111308,Debit Card,20325.7,failed_invalid_card,2026-03-12 02:34:32
111309,111309,Credit Card,31076.57,failed_insufficient_funds,2026-03-12 11:53:58
111310,111310,Wallet,29238.299999999996,failed_invalid_card,2026-03-12 19:59:11
111311,111311,Net Banking,6940.68,failed_invalid_card,2026-03-12 04:00:45
111312,111312,Debit Card,907.36,failed_invalid_card,2026-03-12 06:48:21
111313,111313,Debit Card,8433.52,failed_network_error,2026-03-12 13:29:24
111314,111314,Debit Card,14976.93,failed_network_error,2026-03-12 13:01:26
111315,111315,Debit Card,0.0,failed_invalid_card,2026-03-12 12:36:48
111316,111316,Debit Card,3419.28,failed_insufficient_funds,2026-03-12 06:53:37
111317,111317,Credit Card,1840.01,failed_invalid_card,2026-03-12 20:01:14
111318,111318,Net Banking,6008.82,success,2026-03-12 20:41:40
111319,111319,Debit Card,6241.88,failed_invalid_card,2026-03-12 01:43:50
111320,111320,Net Banking,12197.08,failed_network_error,2026-03-12 21:44:17
111321,111321,Credit Card,3155.3199999999997,failed_network_error,2026-03-12 08:52:00
111322,111322,Wallet,29524.95,failed_insufficient_funds,2026-03-12 08:00:33
111323,111323,Net Banking,24149.8,failed_invalid_card,2026-03-12 07:11:22
111324,111324,Debit Card,5074.08,failed_insufficient_funds,2026-03-12 08:06:06
111325,111325,UPI,4778.76,success,2026-03-12 07:08:25
111326,111326,Net Banking,2996.6000000000004,success,2026-03-12 07:58:36
111327,111327,UPI,844.02,failed_insufficient_funds,2026-03-12 18:01:45
111328,111328,Debit Card,598.3199999999999,failed_invalid_card,2026-03-12 07:53:02
111329,111329,Net Banking,240.89999999999998,failed_insufficient_funds,2026-03-12 03:12:21
111330,111330,Credit Card,19773.55,failed_insufficient_funds,2026-03-12 17:13:05
111331,111331,Net Banking,3992.5,success,2026-03-12 17:20:22
111332,111332,UPI,0.0,failed_invalid_card,2026-03-12 16:34:50
