payment_id,order_id,payment_method,payment_amount,payment_status,payment_timestamp
111286,111286,Debit Card,17610.32,failed_network_error,2026-03-12 00:03:33
111287,111287,Wallet,2461.1,failed_insufficient_funds,2026-03-12 07:35:24
111288,111288,Debit Card,13199.699999999999,failed_invalid_card,2026-03-12 05:04:58
111289,111289,Wallet,1572.95,failed_network_error,2026-03-12 20:01:08
111290,111290,UPI,32054.75,success,2026-03-12 08:14:47
111291,111291,UPI,4011.72,success,2026-03-12 16:36:43
111292,111292,UPI,8029.44,failed_insufficient_funds,2026-03-12 01:52:49
111293,111293,Wallet,2009.77,failed_insufficient_funds,2026-03-12 15:56:35
111294,111294,Wallet,3165.4800000000005,success,2026-03-12 04:09:35
111295,111295,Net Banking,30177.36,failed_network_error,2026-03-12 00:43:21
111296,111296,Credit Card,9308.56,failed_invalid_card,2026-03-12 15:11:24
111297,111297,Debit Card,13213.829999999998,success,2026-03-12 11:34:26
111298,111298,Wallet,5951.0,failed_network_error,2026-03-12 15:50:41
111299,111299,Credit Card,19689.85,failed_insufficient_funds,2026-03-12 19:57:01
111300,111300,Debit Card,5237.95,failed_insufficient_funds,2026-03-12 21:23:47
111301,111301,UPI,8329.58,success,2026-03-12 05:36:30
111302,111302,Credit Card,12102.72,failed_network_error,2026-03-12 13:47:56
111303,111303,Credit Card,234.71999999999997,failed_insufficient_funds,2026-03-12 00:41:01
111304,111304,Debit Card,7574.049999999999,failed_insufficient_funds,2026-03-12 00:43:29
111305,111305,Debit Card,23050.2,failed_insufficient_funds,2026-03-12 13:29:33
111306,111306,Debit Card,10221.16,failed_network_error,2026-03-12 22:27:35
111307,111307,UPI,0.0,failed_invalid_card,2026-03-12 17:01:07
111308,111308,Debit Card,5288.56,failed_insufficient_funds,2026-03-12 02:41:20
111309,111309,Net Banking,1084.79,failed_network_error,2026-03-12 10:55:33
111310,111310,Wallet,2238.58,failed_invalid_card,2026-03-12 20:43:29
111311,111311,Net Banking,5327.54,failed_network_error,2026-03-12 21:02:28
111312,111312,Net Banking,18873.35,failed_invalid_card,2026-03-12 08:07:31
111313,111313,Credit Card,0.0,success,2026-03-12 01:21:48
111314,111314,Wallet,4926.62,failed_invalid_card,2026-03-12 18:48:14
111315,111315,Wallet,15947.64,failed_invalid_card,2026-03-12 05:29:10
111316,111316,Credit Card,1286.64,failed_invalid_card,2026-03-12 12:19:28
