order_id,customer_id,product_id,order_timestamp,price,quantity,order_total,order_status
111286,7605,89,2026-03-12 06:11:50,2164.51,4,8658.04,Returned
111287,269,58,2026-03-12 04:39:57,4860.61,1,4860.61,Completed
111288,4064,74,2026-03-12 13:24:20,1126.94,6,6761.64,Completed
111289,5155,50,2026-03-12 23:16:06,2842.98,2,5685.96,Completed
111290,8021,477,2026-03-12 16:21:30,4965.58,8,39724.64,Cancelled
111291,4617,293,2026-03-12 18:29:12,3760.4,10,37604.0,Completed
111292,5813,28,2026-03-12 06:05:14,3303.16,7,23122.12,Cancelled
111293,8633,216,2026-03-12 21:23:45,2644.16,2,5288.32,Returned
111294,6484,331,2026-03-12 22:37:07,185.47,10,1854.7,Cancelled
111295,4287,18,2026-03-12 02:37:32,1382.11,8,11056.88,Completed
111296,47,76,2026-03-12 06:20:23,3171.58,3,9514.74,Returned
111297,2968,92,2026-03-12 08:00:10,742.48,3,2227.44,Returned
111298,5031,472,2026-03-12 08:27:43,231.92,1,231.92,Completed
111299,2562,158,2026-03-12 16:41:46,4631.92,2,9263.84,Cancelled
111300,9015,235,2026-03-12 19:59:44,2203.45,4,8813.8,Returned
111301,2481,123,2026-03-12 15:06:49,4117.75,6,24706.5,Returned
111302,4691,260,2026-03-12 12:55:40,3414.16,9,30727.44,Cancelled
111303,2471,422,2026-03-12 13:55:21,1693.33,5,8466.65,Returned
111304,10435,198,2026-03-12 07:35:26,4253.08,8,34024.64,Cancelled
111305,7232,396,2026-03-12 10:46:52,1125.2,2,2250.4,Cancelled
111306,4554,189,2026-03-12 16:11:33,4116.03,1,4116.03,Completed
111307,6786,365,2026-03-12 00:25:41,1401.35,2,2802.7,Cancelled
111308,824,252,2026-03-12 17:11:34,2699.3,3,8097.900000000001,Completed
111309,3361,472,2026-03-12 08:16:58,4170.34,6,25022.04,Returned
111310,629,208,2026-03-12 13:46:58,425.63,2,851.26,Completed
111311,8079,450,2026-03-12 00:12:06,1378.83,7,9651.81,Returned
111312,4274,376,2026-03-12 08:59:27,4053.49,6,24320.94,Cancelled
111313,1225,152,2026-03-12 12:55:25,2044.28,1,2044.28,Returned
111314,1017,103,2026-03-12 02:55:19,1969.68,9,17727.12,Completed
111315,3473,415,2026-03-12 09:19:42,2801.18,1,2801.18,Returned
111316,5500,58,2026-03-12 22:14:39,2193.71,5,10968.55,Cancelled
111317,6056,107,2026-03-12 23:38:37,3465.37,2,6930.74,Cancelled
111318,6928,187,2026-03-12 17:50:16,3514.11,2,7028.22,Cancelled
111319,6359,346,2026-03-12 00:42:32,3328.47,0,0.0,Cancelled
111320,2015,371,2026-03-12 04:04:30,3678.77,5,18393.85,Completed
111321,10124,54,2026-03-12 02:08:53,1978.8,5,9894.0,Cancelled
111322,6405,473,2026-03-12 12:21:44,239.13,3,717.39,Completed
111323,2490,268,2026-03-12 05:15:03,4212.01,0,0.0,Returned
111324,9075,57,2026-03-12 13:59:02,814.37,3,2443.11,Completed
111325,214,249,2026-03-12 05:11:07,3291.94,6,19751.64,Cancelled
111326,7411,156,2026-03-12 11:57:21,2934.04,4,11736.16,Completed
111327,8330,138,2026-03-12 00:57:36,428.33,1,428.33,Cancelled
111328,6735,204,2026-03-12 02:52:32,2638.26,8,21106.08,Cancelled
111329,4656,246,2026-03-12 13:53:15,3756.85,9,33811.65,Cancelled
111330,7853,33,2026-03-12 23:19:10,766.58,5,3832.9,Returned
111331,7714,194,2026-03-12 17:14:11,4992.73,4,19970.92,Cancelled
111332,8707,120,2026-03-12 04:02:48,4956.72,7,34697.04,Completed
111333,5879,445,2026-03-12 16:29:26,3512.7,4,14050.8,Cancelled
111334,5974,302,2026-03-12 14:41:35,1031.24,3,3093.7200000000003,Returned
111335,4766,430,2026-03-12 13:38:23,3833.82,3,11501.460000000001,Completed
111336,8312,457,2026-03-12 14:11:21,4645.04,8,37160.32,Completed
111337,215,79,2026-03-12 19:55:30,2575.8,8,20606.4,Returned
111338,2634,83,2026-03-12 07:23:11,4323.86,6,25943.159999999996,Returned
111339,9624,217,2026-03-12 19:06:35,4272.98,6,25637.879999999997,Returned
111340,3629,346,2026-03-12 20:48:00,825.21,4,3300.84,Completed
111341,2939,91,2026-03-12 21:08:24,2792.73,4,11170.92,Cancelled
111342,6873,481,2026-03-12 02:01:59,2487.74,0,0.0,Cancelled
111343,3931,220,2026-03-12 06:52:36,755.94,8,6047.52,Returned
111344,10319,340,2026-03-12 13:07:23,106.57,3,319.71,Completed
111345,569,352,2026-03-12 13:48:48,179.59,6,1077.54,Completed
111346,4771,392,2026-03-12 14:39:10,471.6,9,4244.400000000001,Cancelled
111347,6692,374,2026-03-12 21:24:16,791.36,7,5539.52,Cancelled
111348,7979,192,2026-03-12 00:23:59,1164.05,3,3492.1499999999996,Returned
111349,425,141,2026-03-12 04:24:29,3835.33,3,11505.99,Returned
111350,7328,68,2026-03-12 05:51:26,290.42,0,0.0,Cancelled
111351,3664,453,2026-03-12 11:19:06,4976.92,0,0.0,Completed
111352,5108,24,2026-03-12 23:03:09,2924.64,4,11698.56,Cancelled
111353,5779,185,2026-03-12 14:44:53,886.7,10,8867.0,Returned
111354,3126,355,2026-03-12 01:20:36,2081.19,8,16649.52,Cancelled
111355,850,72,2026-03-12 13:02:20,3454.88,7,24184.16,Completed
111356,5871,133,2026-03-12 09:06:49,4545.77,2,9091.54,Returned
111357,1679,141,2026-03-12 02:58:41,1341.05,1,1341.05,Completed
111358,2164,103,2026-03-12 18:10:29,2706.15,10,27061.5,Returned
111359,9613,223,2026-03-12 18:09:08,4655.61,0,0.0,Completed
111360,8042,137,2026-03-12 23:54:01,3361.87,1,3361.87,Completed
111361,9245,408,2026-03-12 20:51:37,3172.82,8,25382.56,Completed
111362,6503,253,2026-03-12 11:26:04,2301.86,4,9207.44,Completed
111363,6968,42,2026-03-12 15:55:12,4590.92,4,18363.68,Completed
111364,1696,468,2026-03-12 03:35:28,4068.28,10,40682.8,Cancelled
111365,9477,347,2026-03-12 12:52:36,4550.36,8,36402.88,Returned
111366,1110,47,2026-03-12 11:04:52,3228.3,3,9684.900000000001,Cancelled
111367,8549,318,2026-03-12 10:26:40,4823.19,7,33762.329999999994,Cancelled
111368,3205,495,2026-03-12 06:29:32,1820.68,3,5462.04,Cancelled
111369,879,459,2026-03-12 00:14:59,1024.89,7,7174.2300000000005,Cancelled
111370,2701,105,2026-03-12 00:33:50,1030.93,1,1030.93,Cancelled
111371,3493,319,2026-03-12 05:28:26,3560.35,5,17801.75,Returned
111372,1747,79,2026-03-12 08:07:20,3780.98,3,11342.94,Completed
111373,4728,500,2026-03-12 04:18:12,4135.99,9,37223.909999999996,Returned
111374,5743,326,2026-03-12 22:36:23,2262.51,1,2262.51,Returned
111375,2249,221,2026-03-12 19:08:52,3913.75,5,19568.75,Completed
111376,9405,114,2026-03-12 02:04:02,2982.15,4,11928.6,Cancelled
111377,1221,495,2026-03-12 15:36:35,1205.26,2,2410.52,Returned
111378,1469,435,2026-03-12 12:40:30,2806.51,4,11226.04,Cancelled
111379,1663,108,2026-03-12 05:51:26,3929.37,6,23576.22,Cancelled
111380,2570,21,2026-03-12 18:28:49,507.83,1,507.83,Completed
111381,8534,386,2026-03-12 18:11:53,3988.04,7,27916.28,Completed
111382,4449,345,2026-03-12 15:32:09,298.72,4,1194.88,Cancelled
111383,57,76,2026-03-12 18:42:38,2421.4,9,21792.600000000002,Cancelled
111384,7959,252,2026-03-12 05:48:00,1365.69,5,6828.450000000001,Completed
111385,6661,83,2026-03-12 01:03:43,4535.14,6,27210.840000000004,Returned
111386,5016,360,2026-03-12 07:34:12,141.54,9,1273.86,Completed
111387,5866,204,2026-03-12 02:28:18,4975.97,9,44783.73,Returned
111388,3602,92,2026-03-12 00:20:03,1243.78,9,11194.02,Cancelled
111389,3161,95,2026-03-12 23:06:48,4485.1,2,8970.2,Cancelled
111390,4314,381,2026-03-12 09:00:02,3959.73,6,23758.38,Cancelled
111391,938,10,2026-03-12 12:16:31,3935.26,1,3935.26,Cancelled
111392,928,94,2026-03-12 23:18:15,590.19,10,5901.900000000001,Completed
111393,3359,57,2026-03-12 01:04:27,3140.58,4,12562.32,Cancelled
111394,4150,485,2026-03-12 09:19:03,3960.2,9,35641.799999999996,Cancelled
111395,9150,303,2026-03-12 16:17:10,715.18,0,0.0,Completed
111396,9168,369,2026-03-12 09:41:03,2314.39,2,4628.78,Returned
111397,6562,312,2026-03-12 12:30:20,1291.24,10,12912.4,Completed
111398,7682,322,2026-03-12 15:10:05,4867.28,7,34070.96,Completed
111399,701,140,2026-03-12 16:27:13,1761.16,3,5283.4800000000005,Cancelled
111400,2130,232,2026-03-12 08:57:09,2403.2,3,7209.599999999999,Cancelled
111401,8252,4,2026-03-12 22:25:45,3461.25,7,24228.75,Completed
111402,5555,88,2026-03-12 17:31:43,4816.01,10,48160.100000000006,Cancelled
111403,8291,326,2026-03-12 05:27:44,3706.6,0,0.0,Returned
111404,2923,393,2026-03-12 19:15:23,4829.28,1,4829.28,Cancelled
111405,5046,96,2026-03-12 04:39:06,3644.85,10,36448.5,Returned
111406,7810,122,2026-03-12 01:43:55,370.5,3,1111.5,Cancelled
111407,573,401,2026-03-12 20:57:06,1501.34,2,3002.68,Completed
111408,9363,56,2026-03-12 04:39:55,4303.19,9,38728.71,Completed
111409,10125,366,2026-03-12 01:34:22,1443.83,8,11550.64,Returned
111410,2208,36,2026-03-12 15:03:00,1863.37,8,14906.96,Cancelled
111411,7536,484,2026-03-12 19:44:44,314.49,4,1257.96,Completed
111412,8318,199,2026-03-12 08:26:42,3694.76,1,3694.76,Cancelled
111413,1731,164,2026-03-12 09:19:15,341.91,6,2051.46,Returned
111414,4340,427,2026-03-12 06:27:07,1201.8,0,0.0,Cancelled
111415,4361,390,2026-03-12 08:07:32,3180.2,1,3180.2,Completed
111416,8695,200,2026-03-12 06:19:38,1017.18,7,7120.259999999999,Cancelled
111417,1460,233,2026-03-12 02:21:32,3360.04,4,13440.16,Completed
111418,527,193,2026-03-12 19:23:30,3746.66,8,29973.28,Cancelled
111419,2774,237,2026-03-12 22:17:59,4539.15,0,0.0,Cancelled
111420,10290,440,2026-03-12 06:26:39,4677.86,5,23389.3,Returned
111421,6963,454,2026-03-12 21:04:28,1778.27,6,10669.619999999999,Cancelled
111422,3307,271,2026-03-12 14:32:01,4822.01,10,48220.100000000006,Cancelled
111423,8902,345,2026-03-12 10:56:15,1836.88,5,9184.400000000001,Returned
